groupId,name,id,urlkey
4912482,"Social",10581,"social"
4912482,"Outdoors",15046,"outdoors"
4912482,"Drinking",15546,"drinking"
4912482,"Outdoor  Fitness",15672,"outdoor-fitness"
4912482,"Houston",25706,"houston"
4912482,"Jogging Friends",103360,"jogging-friends"
2532782,"Data Management",10494,"datamanagement"
2532782,"Cloud Computing",15167,"cloud-computing"
2532782,"Hadoop",18060,"hadoop"
2532782,"Big Data",18062,"big-data"
2532782,"High Scalability Computing",24410,"high-scalability-computing"
2532782,"Linked Data",24778,"linked-data"
2532782,"MapReduce",27591,"mapreduce"
2532782,"Machine Learning",29971,"machine-learning"
2532782,"Data Analytics",30928,"data-analytics"
2532782,"Data Visualization",37381,"data-visualization"
2532782,"Data Mining",55324,"data-mining"
2532782,"NoSQL",58162,"nosql"
2532782,"HBase",61680,"hbase"
2532782,"Cassandra",77842,"cassandra"
2532782,"MongoDB",121802,"mongodb"
20021425,"Open Source",563,"opensource"
20021425,"Python",1064,"python"
20021425,"Business Intelligence",10538,"businessintell"
20021425,"Hadoop",18060,"hadoop"
20021425,"Big Data",18062,"big-data"
20021425,"Machine Learning",29971,"machine-learning"
20021425,"Data Analytics",30928,"data-analytics"
20021425,"Data Visualization",37381,"data-visualization"
20021425,"Predictive Analytics",38458,"predictive-analytics"
20021425,"Computer programming",48471,"computer-programming"
20021425,"Data Mining",55324,"data-mining"
20021425,"NoSQL",58162,"nosql"
20021425,"Data Science",102811,"data-science"
20021425,"Big Data Analytics",383411,"big-data-analytics"
20021425,"Data Science using Python",1481522,"data-science-using-python"
10390322,"Open Source",563,"opensource"
10390322,"Software Development",3833,"softwaredev"
10390322,"New Technology",9696,"newtech"
10390322,"Cloud Computing",15167,"cloud-computing"
10390322,"Mobile Technology",16216,"mobile-technology"
10390322,"Machine Learning",29971,"machine-learning"
10390322,"PaaS (Platform as a Service)",31197,"paas"
10390322,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
10390322,"Predictive Analytics",38458,"predictive-analytics"
10390322,"Data Mining",55324,"data-mining"
10390322,"Internet of Things",79740,"internet-of-things"
10390322,"IaaS (Infrastructure as a Service)",107633,"iaas-infrastructure-as-a-service"
10390322,"Using Hadoop in the cloud",140255,"using-hadoop-in-the-cloud"
10390322,"Cloud Computing Security",141165,"cloud-computing-security"
10390322,"Big Data Analytics",383411,"big-data-analytics"
20629619,"Hip Hop",128,"hiphop"
20629619,"Digital Photography",206,"digcam"
20629619,"Wine",611,"wine"
20629619,"Dining Out",713,"diningout"
20629619,"Karaoke",1193,"karaoke"
20629619,"Beer",1475,"beer"
20629619,"Modeling",6144,"modeling"
20629619,"Live Music",8652,"livemusic"
20629619,"Music",15018,"music"
20629619,"Fun Times",15117,"fun-times"
20629619,"Foodie",18528,"foodie"
20629619,"Dinner and a Movie",23778,"dinner-and-a-movie"
20629619,"Houston",25706,"houston"
20629619,"African American Women",27978,"african-american-women"
20629619,"Street Photography",49954,"street-photography"
20415285,"Professional Development",3880,"prodev"
20415285,"Online Marketing",15585,"online-marketing"
20415285,"Search Engine Marketing",17601,"search-engine-marketing"
20415285,"Business Strategy",17635,"business-strategy"
20415285,"Social Media Marketing",17742,"social-media-marketing"
20415285,"Big Data",18062,"big-data"
20415285,"Entrepreneurship",19882,"entrepreneurship"
20415285,"Entrepreneur Networking",20060,"business-entrepreneur-networking"
20415285,"Startup Businesses",21681,"startup-businesses"
20415285,"SEO (Search Engine Optimization)",23199,"seo-search-engine-optimization"
20415285,"Predictive Analytics",38458,"predictive-analytics"
20415285,"Startup Pitching",78721,"startup-pitching"
20415285,"Data Science",102811,"data-science"
20415285,"Big Data Analytics",383411,"big-data-analytics"
20120380,"Musicians",173,"musicians"
20120380,"Dining Out",713,"diningout"
20120380,"Nightlife",4392,"nightlife"
20120380,"Social Networking",4422,"socialnetwork"
20120380,"Museum",7319,"museum"
20120380,"Live Music",8652,"livemusic"
20120380,"Line Dancing",9931,"linedancing"
20120380,"Sports and Recreation",10451,"sports"
20120380,"Performing Arts",17558,"performing-arts"
20120380,"Exploring Our Town",20147,"exploring-our-town"
20120380,"Theater",23274,"live-theatre"
20120380,"Houston",25706,"houston"
20120380,"Francophone Culture",30474,"francophone-culture"
20120380,"Louisiana",45173,"louisiana"
